,Gender,Value
0,Male,34.1
36,Male,27.9
81,Male,26.8
87,Female,30.8
98,Male,29.7
107,Male,31.2
121,Female,35.7
129,Female,26.8
153,Male,25.8
159,Male,33.5
201,Female,30.2
236,Male,36.0
241,Male,31.0
274,Female,33.8
291,Female,26.4
298,Female,28.0
316,Female,33.5
329,Male,33.8
347,Male,33.3
359,Female,25.8
390,Female,30.8
391,Male,36.0
420,Male,34.9
448,Female,28.0
482,Female,28.1
497,Male,31.5
502,Female,23.0
512,Female,30.2
525,Female,38.5
532,Male,29.2
533,Female,27.5
550,Male,34.6
552,Male,31.4
563,Female,29.2
571,Female,33.1
587,Female,25.5
599,Male,27.7
643,Male,33.6
663,Male,29.0
674,Male,30.4
710,Male,34.5
720,Male,31.1
727,Female,39.5
729,Male,21.2
741,Male,27.8
745,Male,30.9
768,Male,31.6
769,Male,31.1
793,Female,39.4
807,Male,32.8
810,Male,21.8
813,Female,27.1
837,Male,26.0
841,Male,
850,Female,36.2
853,Male,32.4
855,Female,33.1
874,Female,34.6
877,Female,29.2
897,Male,32.1
917,Female,37.8
921,Female,28.7
929,Male,29.4
934,Male,33.1
937,Female,28.0
939,Male,30.1
942,Male,40.6
949,Female,28.5
975,Male,33.9
978,Male,29.7
996,Male,31.0
1000,Female,24.2
1012,Male,31.1
1018,Male,28.4
1042,Female,27.8
1046,Male,27.0
1071,Female,33.3
1084,Female,25.6
1087,Female,42.6
1117,Female,35.3
1139,Female,31.3
1149,Female,30.8
1154,Male,36.4
1170,Female,27.3
1180,Female,32.7
1185,Female,
1193,Female,33.5
1194,Female,36.2
1229,Female,33.2
1231,Female,36.8
1247,Male,32.3
1249,Female,37.0
1271,Female,34.2
1303,Male,34.4
1313,Male,28.7
1314,Female,27.2
1322,Female,27.1
1323,Male,28.4
1338,Male,28.6
1358,Female,34.6
1363,Female,33.9
1381,Male,29.9
1388,Male,30.2
1403,Female,34.3
1420,Female,34.2
1437,Female,24.3
1445,Male,30.6
1467,Male,33.5
1471,Female,35.6
1492,Male,36.1
