ID,Age,Year,Value
0,18 - 24,2011,15.430769230769233
1,18 - 24,2012,15.811538461538467
2,18 - 24,2013,15.760377358490562
3,18 - 24,2014,16.35925925925926
4,18 - 24,2015,17.457407407407405
5,18 - 24,2016,17.485454545454548
6,18 - 24,2017,17.392592592592592
7,18 - 24,2018,18.59444444444445
8,25 - 34,2011,26.165384615384617
9,25 - 34,2012,26.17115384615385
10,25 - 34,2013,27.141509433962263
11,25 - 34,2014,28.029629629629635
12,25 - 34,2015,27.377777777777776
13,25 - 34,2016,27.99272727272727
14,25 - 34,2017,29.559259259259264
15,25 - 34,2018,30.35
16,35 - 44,2011,30.72115384615385
17,35 - 44,2012,31.6
18,35 - 44,2013,32.3622641509434
19,35 - 44,2014,33.06481481481481
20,35 - 44,2015,32.91666666666667
21,35 - 44,2016,33.86545454545455
22,35 - 44,2017,34.038888888888884
23,35 - 44,2018,35.07777777777779
24,45 - 54,2011,32.54807692307692
25,45 - 54,2012,32.609615384615374
26,45 - 54,2013,33.82452830188679
27,45 - 54,2014,33.922222222222224
28,45 - 54,2015,34.53148148148147
29,45 - 54,2016,35.52181818181819
30,45 - 54,2017,36.64074074074075
31,45 - 54,2018,37.70185185185186
32,55 - 64,2011,32.89423076923078
33,55 - 64,2012,33.38076923076923
34,55 - 64,2013,33.39811320754717
35,55 - 64,2014,33.8537037037037
36,55 - 64,2015,33.75185185185185
37,55 - 64,2016,34.04181818181818
38,55 - 64,2017,35.42222222222223
39,55 - 64,2018,35.327777777777776
40,65 or older,2011,25.100000000000005
41,65 or older,2012,25.826923076923073
42,65 or older,2013,26.547169811320764
43,65 or older,2014,27.29814814814815
44,65 or older,2015,27.76851851851853
45,65 or older,2016,27.869090909090904
46,65 or older,2017,28.69444444444444
47,65 or older,2018,28.70925925925925
